timestamp;cpu;mem;disk;net_sent;net_recv
1765250439;17.2;28.3;6.1;129833273;149111205
1765250440;17.5;28.3;6.1;129950178;149162500
1765250441;17.4;28.3;6.1;130068374;149214560
1765250443;17.3;28.3;6.1;130183032;149265651
1765250444;17.9;28.3;6.1;130330902;149363900
1765250445;17.7;28.3;6.1;130414237;149369613
1765250446;17.4;28.3;6.1;130529252;149420704
1765250447;18.1;28.3;6.1;130644347;149471950
1765250448;17;28.3;6.1;130761054;149523617
1765250449;17.3;28.3;6.1;130876307;149574708
1765250450;17.7;28.3;6.1;130991640;149625859
1765250451;17.5;28.3;6.1;131113549;149677716
1765250452;17.6;28.3;6.1;131229252;149728978
1765250453;16.6;28.6;6.1;131346371;149781009
1765250454;17.4;28.6;6.1;131463622;149832733
1765250455;17;28.6;6.1;131580901;149884110
1765250456;16.9;28.6;6.1;131696726;149935200
1765250458;17.1;28.6;6.1;131812631;149986290
1765250459;17.3;28.6;6.1;131930220;150037818
1765250460;17.4;28.6;6.1;132093287;150135910
1765250461;17.7;28.6;6.1;132195535;150187592
1765250462;18.1;28.6;6.1;132291600;150239394
1765250463;17.6;28.6;6.1;132351177;150243789
1765250464;17.9;28.6;6.1;132469049;150294915
1765250465;17;28.6;6.1;132585469;150346005
1765250466;17;28.7;6.1;132709858;150397857
1765250467;16.9;28.9;6.1;132826580;150449007
1765250468;17.3;28.9;6.1;132943576;150500484
1765250469;17.3;27.7;6.1;133060429;150551574
1765250470;17;27.7;6.1;133177414;150602716
1765250471;17.4;27.8;6.1;133296009;150654787
1765250473;18.1;27.8;6.1;133413100;150705817
1765250474;17;27.8;6.1;133530199;150756907
1765250475;17.2;27.9;6.1;133649032;150809902
1765250476;17.6;28;6.1;133766485;150860984
1765250477;17.4;28;6.1;133883907;150912289
1765250478;17.2;28;6.1;134003240;150964105
1765250479;18.3;28;6.1;134120818;151015195
1765250480;18.1;28;6.1;134287308;151113707
1765250481;17.1;28;6.1;134405010;151164693
1765250482;17.4;28.1;6.1;134475820;151168781
1765250483;17.5;28.1;6.1;134582647;151219823
1765250484;17.5;28.2;6.1;134703911;151271345
1765250485;17.7;28.2;6.1;134812448;151321880
1765250486;17.4;28.2;6.1;134930632;151372962
1765250488;17.1;28.2;6.1;135050376;151424262
1765250489;17.4;28.3;6.1;135168740;151475627
1765250490;16.9;28.3;6.1;135287112;151526717
1765250491;17.3;28.3;6.1;135415449;151578360
1765250492;17.2;28.3;6.1;135526602;151629545
1765250493;16.9;28.4;6.1;135595448;151679107
1765250494;16.9;28.4;6.1;135721971;151731421
1765250495;17;28.5;6.1;135840842;151782846
1765250496;16.7;28.5;6.1;135959949;151834309
1765250497;17.5;28.5;6.1;136088777;151885931
1765250498;17.3;28.5;6.1;136209911;151937654
1765250499;17;28.5;6.1;136329962;152034807
1765250500;17.1;28.5;6.1;136449437;152086121
1765250501;17;28.6;6.1;136568814;152137546
1765250503;17.3;28.6;6.1;136689979;152189496
1765250504;18.4;28.7;6.1;136811170;152241940
1765250505;17.7;28.7;6.1;136932414;152293346
1765250506;17.7;28.8;6.1;137010246;152298632
1765250507;16.2;28.8;6.1;137130138;152350117
1765250508;16.9;28.9;6.1;137251694;152402093
1765250509;17.1;28.9;6.1;137374810;152453867
1765250510;17;28.9;6.1;137494942;152505292
1765250511;17.3;29;6.1;137615152;152556562
1765250512;16.9;29;6.1;137736972;152608552
1765250513;17.4;29;6.1;137857410;152660037
1765250514;16.9;29;6.1;137977854;152711307
1765250515;17.4;29;6.1;138085067;152761848
1765250516;17;29;6.1;138206506;152814015
1765250517;17.3;29;6.1;138327182;152865285
1765250519;18.1;29;6.1;138449520;152917177
1765250520;17.2;29.1;6.1;138601276;153015280
1765250521;18;27.9;6.1;138692650;153066151
1765250522;18.6;27.9;6.1;138800939;153116737
1765250523;16.6;27.9;6.1;138876539;153121077
1765250524;17.7;28;6.1;138999365;153172353
1765250525;17.8;28;6.1;139123188;153224122
1765250526;17.3;28;6.1;139244546;153275264
1765250527;17.9;28;6.1;139367477;153326606
1765250528;17.6;28.1;6.1;139488954;153378805
1765250529;17;28.2;6.1;139612043;153430351
1765250530;18.5;28.2;6.1;139735262;153481631
1765250531;17;28.3;6.1;139856905;153532876
1765250532;17.5;28.4;6.1;139978678;153585811
1765250534;17.5;28.4;6.1;140102083;153637807
1765250535;17.4;28.5;6.1;140224036;153689292
